ID_UNIFICA;EQUIDAD_SOCIAL;COBERTURA_SALUD;COBERTURA_EDUCACION;COBERTURA_ACUEDUCTO;COBERTURA_ALCANTARILLADO;DISTANCIA_SALUD;DISTANCIA_EDUCACION
6800110000000006570203;2,86971831458135;10212;7149;20;15;152,130511566;145,160682759767
6800110000000007420218;5,53576388003098;16935;11677;29;36;338,945204755;361,342451037133
6800110000000007420724;8,17039482099445;15979;11074;113;102;383,414550012;323,75904660938
6800110000000009600103;22,3158533100675;11437;7890;5;2;525,857696122;139,071581049171
6800110000000011940621;18,8429203107294;8728;5546;1506;1034;730,390355967;443,191387337363
6800110000000012410104;2,11847824506138;4497;3234;4;2;244,437336021;806,541194472956
6800110000000013130103;4,90769222607979;11836;8385;3;3;26,5938794347;425,88319208549
6800110000000013300112;19,0201388100783;2619;1775;9;14;295,876557047;304,76980759478
6800110000000013190504;3,6940000000596;15844;10690;7;9;105,210033995;188,052662791233
6800110000000015020214;28,1529417037964;904;595;104;116;706,291951282;613,133288956908
6800110000000007970132;5,30746274030031;10195;6707;3;2;438,136912097;92,0642603383012
6800110000000015020257;27,3314155593383;7767;5050;819;534;522,076234935;1071,22898675412
6800110000000004220225;22,1222222513623;1855;1262;154;149;729,81477038;766,673259878511
6800110000000004750170;44,4390849076526;15022;10364;430;393;108,171105221;167,104428372339
6800110000000006570202;3,15069445315748;10579;7416;22;15;170,021576942;141,236429671579
